Candidate Number,Candidate,Coalition,Party,Twitter - Number of Mentions,Twitter - Number of Users,Twitter- Total Favorites,Twitter - Total Retweets,Twitter - Total Replies,Twitter - Percent News,Twitter - Percent Non-news,Facebook - Number of Candidate Posts,Facebook - Total Comments,Facebook - Total Shares,Facebook - Total Reactions
1,Abner Afuang,WPP,WPP,199.0,112.0,656.0,200.0,105.0,0.11,0.89,77.0,436.0,15473.0,76567.0
2,Agnes Escudero,KKK,Independent,256.0,186.0,3294.0,612.0,332.0,0.09,0.91,28.0,108.0,3310.0,29973.0
3,Allan Montaño,Labor Win,Independent,182.0,80.0,1304.0,304.0,109.0,0.23,0.77,0.0,0.0,0.0,0.0
4,Balde Baldevarona,,Independent,61.0,20.0,162.0,27.0,52.0,0.51,0.49,0.0,0.0,0.0,0.0
5,Bam Aquino,Otso Diretso,Liberal,11690.0,5395.0,160642.0,38127.0,9104.0,0.03,0.97,62.0,4125.0,26970930.0,4577542.0
6,Bato Dela Rosa,HNP,PDP–Laban,3693.0,2618.0,131776.0,40006.0,4560.0,0.03,0.97,42.0,2028.0,57653386.0,6022055.0
7,Bernard Austria,,PDSP,90.0,46.0,328.0,123.0,43.0,0.01,0.99,26.0,29.0,120.0,808.0
8,BFG Abraham,,Independent,11.0,11.0,15.0,21.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
9,Bong Go,HNP,PDP–Laban,28196.0,13886.0,507904.0,128472.0,26222.0,0.03,0.97,20.0,2097.0,105584151.0,36036642.0
10,Bong Revilla,HNP,Lakas,31898.0,25072.0,493596.0,152640.0,18471.0,0.0,1.0,44.0,5186.0,474160400.0,37620052.0
11,Butch Valdes,KDP,KDP,146.0,80.0,870.0,232.0,126.0,0.04,0.96,12.0,76.0,2834.0,13415.0
12,Charlie Gaddi,KKK,Independent,65.0,27.0,6678.0,2557.0,83.0,0.43,0.57,10.0,11.0,23.0,159.0
13,Chel Diokno,Otso Diretso,Liberal,28687.0,12558.0,1746006.0,389785.0,26165.0,0.01,0.99,44.0,3372.0,129955053.0,8643742.0
14,Cynthia Villar,HNP,Nacionalista,4453.0,2463.0,65250.0,16707.0,4086.0,0.07,0.93,49.0,2972.0,101955998.0,14129593.0
15,Dado Padilla,,PFP,338.0,242.0,2521.0,1046.0,207.0,0.11,0.89,0.0,0.0,0.0,0.0
16,Dan Roleda,UNA,UNA,200.0,76.0,859.0,184.0,89.0,0.23,0.78,173.0,1959.0,621087.0,7587027.0
17,Doc Willie Ong,,Lakas,2674.0,1621.0,13076.0,2775.0,938.0,0.07,0.93,0.0,0.0,0.0,0.0
18,Dong Mangudadatu,HNP,PDP–Laban,449.0,255.0,4637.0,1575.0,320.0,0.11,0.89,67.0,4224.0,14390884.0,4818212.0
19,Elmer Francisco,,PFP,191.0,92.0,553.0,136.0,136.0,0.28,0.72,8.0,21.0,355.0,2756.0
20,Emily Mallillin,KKK,Independent,72.0,25.0,155.0,41.0,50.0,0.4,0.6,21.0,42.0,563.0,1688.0
21,Erin Tañada,Otso Diretso,Liberal,9947.0,3906.0,261216.0,73574.0,9253.0,0.02,0.98,57.0,872.0,5035069.0,287110.0
22,Ernesto Arellano,,Independent,287.0,138.0,1464.0,367.0,164.0,0.16,0.84,129.0,460.0,480628.0,146875.0
23,Faisal Mangondato,KKK,Independent,12.0,11.0,25.0,26.0,9.0,0.0,1.0,10.0,47.0,4642.0,3385.0
24,Francis Tolentino,HNP,PDP–Laban,1680.0,690.0,12743.0,3149.0,1356.0,0.06,0.94,44.0,2991.0,5411510.0,63607769.0
25,Freddie Aguilar,,Independent,1701.0,1157.0,46909.0,6913.0,1030.0,0.02,0.98,0.0,0.0,0.0,0.0
26,Gary Alejano,Otso Diretso,Liberal,10837.0,3776.0,211122.0,54493.0,11277.0,0.02,0.98,41.0,4492.0,24595043.0,13415606.0
27,Gen Pederalismo,KKK,Independent,65.0,21.0,62.0,13.0,15.0,0.0,1.0,55.0,228.0,216620.0,14726.0
28,Gerald Arcega,WPP,WPP,97.0,41.0,200.0,55.0,86.0,0.36,0.64,48.0,48.0,64.0,387.0
29,Glenn Chong,KDP,KDP,2943.0,1157.0,12566.0,3254.0,1403.0,0.01,0.99,46.0,723.0,1432566.0,4592004.0
30,Grace Poe,,Independent,4434.0,2493.0,52718.0,11349.0,6936.0,0.06,0.94,27.0,2300.0,4835147.0,4891182.0
31,Imee Marcos,HNP,Nacionalista,9305.0,5922.0,315738.0,70221.0,11205.0,0.03,0.97,38.0,8644.0,192161400.0,17974976.0
32,Jesus Caceres,KKK,Independent,459.0,336.0,2442.0,1069.0,275.0,0.05,0.95,0.0,0.0,0.0,0.0
33,Jiggy Manicad,HNP,Independent,3911.0,2292.0,44354.0,8059.0,2728.0,0.04,0.96,76.0,9378.0,53048856.0,6486420.0
34,Jinggoy Estrada,HNP,PMP,2610.0,1676.0,73461.0,30796.0,3126.0,0.08,0.92,175.0,1750.0,54256026.0,4686820.0
35,Joan Nalliw,KKK,Independent,63.0,28.0,602.0,166.0,21.0,0.0,1.0,55.0,500.0,90368.0,216012.0
36,Juan Ponce Enrile,,PMP,1061.0,867.0,36435.0,7120.0,1052.0,0.06,0.94,85.0,982.0,2641626.0,203256.0
37,Junbert Guigayuma,WPP,WPP,37.0,25.0,53.0,32.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0
38,JV Ejercito,HNP,NPC,15488.0,6097.0,62193.0,11546.0,8538.0,0.03,0.97,71.0,2986.0,618543876.0,24284544.0
