Candidate,Coalition,Party,Votes,%
Abner Afuang,WPP,WPP,559001,1.92%
BFG Abraham,,Independent,434697,1.65%
Agnes Escudero,KKK,Independent,1545985,3.27%
Allan Montaño,Labor Win,Independent,923419,2.25%
Bam Aquino,Otso Diretso,Liberal,14144923,29.91%
Bernard Austria,,PDSP,347013,0.70%
Bong Go,HNP,PDP–Laban,20657702,42.35%
Bong Revilla,HNP,Lakas,14624445,30.92%
Butch Valdes,KDP,KDP,367851,1.20%
Charlie Gaddi,KKK,Independent,286361,0.50%
Chel Diokno,Otso Diretso,Liberal,6342939,13.41%
Cynthia Villar,HNP,Nacionalista,25283727,53.46%
Dado Padilla,,PFP,1095337,2.32%
Dan Roleda,UNA,UNA,469840,1.80%
Gen Pederalismo,KKK,Independent,449785,1.75%
Dong Mangudadatu,HNP,PDP–Laban,7499604,15.86%
Elmer Francisco,,PFP,395427,1.45%
Emily Mallillin,KKK,Independent,304215,0.64%
Erin Tañada,Otso Diretso,Liberal,3870529,8.18%
Ernesto Arellano,,Independent,937713,2.30%
Faisal Mangondato,KKK,Independent,1988719,4.20%
Pilo Hilbay,Otso Diretso,Aksyon,2757879,5.83%
Francis Tolentino,HNP,PDP–Laban,15510026,32.79%
Freddie Aguilar,,Independent,2580230,5.46%
Gary Alejano,Otso Diretso,Liberal,4726652,9.99%
Gerald Arcega,WPP,WPP,383749,1.30%
Glenn Chong,KDP,KDP,2534335,5.36%
Grace Poe,,Independent,22029788,46.58%
Imee Marcos,HNP,Nacionalista,15882628,33.58%
JV Ejercito,HNP,NPC,14313727,30.26%
Jesus Caceres,KKK,Independent,358472,0.90%
Jiggy Manicad,HNP,Independent,6896889,14.58%
Jinggoy Estrada,HNP,PMP,11359305,24.02%
Joan Nalliw,KKK,Independent,390165,1.38%
Balde Baldevarona,,Independent,310411,0.67%
Juan Ponce Enrile,,PMP,5319298,11.25%
Junbert Guigayuma,WPP,WPP,240306,0.40%
Koko Pimentel,HNP,PDP–Laban,14668665,31.01%
Larry Gadon,KDP,KBL,3487780,7.37%
Ka Leody,Labor Win,PLM,893506,2.17%
Lito Lapid,,NPC,16965464,35.87%
Luther Meniano,WPP,WPP,159774,0.30%
Mar Roxas,Otso Diretso,Liberal,9843288,20.81%
Marcelino Arias,WPP,WPP,404513,1.59%
Melchor Chavez,WPP,WPP,764473,2.06%
Nancy Binay,UNA,UNA,14504936,30.67%
Neri Colmenares,Labor Win,Makabayan,4683942,9.90%
Lady Ann Sahidulla,KDP,KDP,444096,1.68%
Pia Cayetano,HNP,Nacionalista,19789019,41.84%
RJ Javellana,KDP,KDP,258538,0.47%
Raffy Alunan,,Bagumbayan,2059359,4.35%
Richard Alfajora,KKK,Independent,404513,1.57%
Romy Macalintal,Otso Diretso,Independent,4007339,8.47%
Bato Dela Rosa,HNP,PDP–Laban,19004225,40.18%
Samira Gutoc,Otso Diretso,Liberal,4345252,9.19%
Serge Osmeña,,Independent,9455202,19.99%
Shariff Albani,WPP,WPP,496855,1.87%
Sonny Angara,HNP,LDP,18161862,38.40%
Sonny Matula,"Labor Win, WPP",WPP,400339,1.50%
Toti Casino,KDP,KDP,580853,1.97%
Vangie Abejo,KKK,Independent,656006,2.00%
Doc Willie Ong,,Lakas,7616265,16.12%
