Party,NumberCandidates,WinningCandidates,AveRetweets,AveShares
Aksyon,1,1,27877.0,4102641.0
Bagumbayan,1,0,2255.0,3956025.0
Independent,18,10,2834.5555555555557,3271445.222222222
KBL,1,0,7631.0,199311407.0
KDP,5,2,892.0,976430.0
LDP,1,1,24801.0,7753745.0
Lakas,2,2,77707.5,237080200.0
Liberal,6,6,119200.16666666667,35408476.5
Makabayan,1,1,53719.0,235310724.0
NPC,2,1,18526.0,309277467.5
Nacionalista,3,3,31926.0,116965699.33333333
PDP–Laban,5,5,35224.6,36836514.4
PDSP,1,0,123.0,120.0
PFP,2,1,591.0,177.5
PLM,1,0,31521.0,75124.0
PMP,2,2,18958.0,28448826.0
UNA,2,2,1424.5,372402.5
WPP,8,6,194.0,15087.875
